measurement_date	name	metric_type	agency	numerator	denominator
2015-07-16	TripsScheduled	Count	WC1	3.00	NULL
2015-06-04	TripsScheduled	Count	TL1	2.00	NULL
2015-11-05	TripsScheduled	Count	LOG	567.00	NULL
2015-08-10	TripsScheduled	Count	ND2	2.00	NULL
2015-02-02	TripsScheduled	Count	CDR	8.00	NULL
2015-04-08	TripsScheduled	Count	PB1	6.00	NULL
2015-06-11	TripsScheduled	Count	CDS	5.00	NULL
2015-01-21	TripsScheduled	Count	MRC	1.00	NULL
2015-04-22	TripsScheduled	Count	PVT	17.00	NULL
2015-05-01	TripsScheduled	Count	SE2	5.00	NULL
